2025-03-14 09:03:01,993 - INFO - Starting script execution
2025-03-14 09:03:01,993 - INFO - Working directory: /opt/github_public_repo/Audit-Collections-Users-Linux/python_handler/responsibility_list_pars
2025-03-14 09:03:01,993 - INFO - Connected to database: untitled.db
2025-03-14 09:03:01,994 - ERROR - Responsibility file not found: /opt/github_public_repo/Audit-Collections-Users-Linux/python_handler/responsibility_list_pars/responsibility-list.txt
2025-03-14 09:03:01,994 - INFO - Script execution completed
2025-03-14 09:05:37,706 - INFO - Starting script execution
2025-03-14 09:05:37,712 - ERROR - Error processing line 88: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,712 - ERROR - Error processing line 89: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,712 - ERROR - Error processing line 90: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,712 - ERROR - Error processing line 91: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,712 - ERROR - Error processing line 92: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,712 - ERROR - Error processing line 93: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,712 - ERROR - Error processing line 94: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,712 - ERROR - Error processing line 95: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,712 - ERROR - Error processing line 96: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,712 - ERROR - Error processing line 97: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,712 - ERROR - Error processing line 98: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,712 - ERROR - Error processing line 99: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,712 - ERROR - Error processing line 100: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,712 - ERROR - Error processing line 101: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,712 - ERROR - Error processing line 102: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,712 - ERROR - Error processing line 103: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,713 - ERROR - Error processing line 104: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,713 - ERROR - Error processing line 105: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,713 - ERROR - Error processing line 106: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,713 - ERROR - Error processing line 107: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,713 - ERROR - Error processing line 108: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,713 - ERROR - Error processing line 109: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,713 - ERROR - Error processing line 110: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,713 - ERROR - Error processing line 111: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,713 - ERROR - Error processing line 112: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,713 - ERROR - Error processing line 113: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,713 - ERROR - Error processing line 114: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,713 - ERROR - Error processing line 115: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,713 - ERROR - Error processing line 116: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,713 - ERROR - Error processing line 117: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,714 - ERROR - Error processing line 118: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,714 - ERROR - Error processing line 119: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,714 - ERROR - Error processing line 120: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,714 - ERROR - Error processing line 121: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,714 - ERROR - Error processing line 122: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,714 - ERROR - Error processing line 123: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,714 - ERROR - Error processing line 124: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,714 - ERROR - Error processing line 125: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,714 - ERROR - Error processing line 126: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,714 - ERROR - Error processing line 127: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,714 - ERROR - Error processing line 128: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,714 - ERROR - Error processing line 129: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,714 - ERROR - Error processing line 130: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,714 - ERROR - Error processing line 131: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,714 - ERROR - Error processing line 132: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,715 - ERROR - Error processing line 133: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,715 - ERROR - Error processing line 134: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,715 - ERROR - Error processing line 135: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,715 - ERROR - Error processing line 136: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,715 - ERROR - Error processing line 137: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,715 - ERROR - Error processing line 138: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,715 - ERROR - Error processing line 139: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,715 - ERROR - Error processing line 140: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,715 - ERROR - Error processing line 141: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,715 - ERROR - Error processing line 142: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,715 - ERROR - Error processing line 143: a bytes-like object is required, not 'str'
2025-03-14 09:05:37,715 - INFO - Processing complete. Servers processed: 0, Servers added: 0
2025-03-14 09:05:37,715 - INFO - Script execution completed
2025-03-14 09:05:53,931 - INFO - Starting script execution
2025-03-14 09:05:53,932 - INFO - Working directory: /opt/github_public_repo/Audit-Collections-Users-Linux/python_handler/responsibility_list_pars
2025-03-14 09:05:53,932 - INFO - Connected to database: untitled.db
2025-03-14 09:05:53,932 - INFO - Processing server: ilp-dbapp-01
2025-03-14 09:05:53,932 - ERROR - Error checking if server ilp-dbapp-01 exists: no such table: tab_main_resp_server
2025-03-14 09:05:53,933 - ERROR - Error inserting data for server ilp-dbapp-01: no such table: tab_main_resp_server
2025-03-14 09:05:53,933 - INFO - Processing server: ilp-webct-03
2025-03-14 09:05:53,933 - ERROR - Error checking if server ilp-webct-03 exists: no such table: tab_main_resp_server
2025-03-14 09:05:53,933 - ERROR - Error inserting data for server ilp-webct-03: no such table: tab_main_resp_server
2025-03-14 09:05:53,933 - INFO - Processing server: ilp-authsv-05
2025-03-14 09:05:53,933 - ERROR - Error checking if server ilp-authsv-05 exists: no such table: tab_main_resp_server
2025-03-14 09:05:53,933 - ERROR - Error inserting data for server ilp-authsv-05: no such table: tab_main_resp_server
2025-03-14 09:05:53,933 - INFO - Processing server: ilp-cachsv-02
2025-03-14 09:05:53,933 - ERROR - Error checking if server ilp-cachsv-02 exists: no such table: tab_main_resp_server
2025-03-14 09:05:53,934 - ERROR - Error inserting data for server ilp-cachsv-02: no such table: tab_main_resp_server
2025-03-14 09:05:53,934 - INFO - Processing server: ilp-backsv-04
2025-03-14 09:05:53,934 - ERROR - Error checking if server ilp-backsv-04 exists: no such table: tab_main_resp_server
2025-03-14 09:05:53,934 - ERROR - Error inserting data for server ilp-backsv-04: no such table: tab_main_resp_server
2025-03-14 09:05:53,934 - INFO - Processing server: ilp-appsv-06
2025-03-14 09:05:53,934 - ERROR - Error checking if server ilp-appsv-06 exists: no such table: tab_main_resp_server
2025-03-14 09:05:53,934 - ERROR - Error inserting data for server ilp-appsv-06: no such table: tab_main_resp_server
2025-03-14 09:05:53,934 - INFO - Processing server: ilp-dbsv-07
2025-03-14 09:05:53,934 - ERROR - Error checking if server ilp-dbsv-07 exists: no such table: tab_main_resp_server
2025-03-14 09:05:53,935 - ERROR - Error inserting data for server ilp-dbsv-07: no such table: tab_main_resp_server
2025-03-14 09:05:53,935 - INFO - Processing server: ilp-proxsv-08
2025-03-14 09:05:53,935 - ERROR - Error checking if server ilp-proxsv-08 exists: no such table: tab_main_resp_server
2025-03-14 09:05:53,935 - ERROR - Error inserting data for server ilp-proxsv-08: no such table: tab_main_resp_server
2025-03-14 09:05:53,935 - INFO - Processing server: ilp-logsv-09
2025-03-14 09:05:53,935 - ERROR - Error checking if server ilp-logsv-09 exists: no such table: tab_main_resp_server
2025-03-14 09:05:53,935 - ERROR - Error inserting data for server ilp-logsv-09: no such table: tab_main_resp_server
2025-03-14 09:05:53,935 - INFO - Processing server: ilp-monitr-10
2025-03-14 09:05:53,935 - ERROR - Error checking if server ilp-monitr-10 exists: no such table: tab_main_resp_server
2025-03-14 09:05:53,936 - ERROR - Error inserting data for server ilp-monitr-10: no such table: tab_main_resp_server
2025-03-14 09:05:53,936 - INFO - Processing server: ilp-dbapp-11
2025-03-14 09:05:53,936 - ERROR - Error checking if server ilp-dbapp-11 exists: no such table: tab_main_resp_server
2025-03-14 09:05:53,936 - ERROR - Error inserting data for server ilp-dbapp-11: no such table: tab_main_resp_server
2025-03-14 09:05:53,936 - INFO - Processing server: ilp-webct-12
2025-03-14 09:05:53,936 - ERROR - Error checking if server ilp-webct-12 exists: no such table: tab_main_resp_server
2025-03-14 09:05:53,936 - ERROR - Error inserting data for server ilp-webct-12: no such table: tab_main_resp_server
2025-03-14 09:05:53,936 - INFO - Processing server: ilp-authsv-13
2025-03-14 09:05:53,936 - ERROR - Error checking if server ilp-authsv-13 exists: no such table: tab_main_resp_server
2025-03-14 09:05:53,936 - ERROR - Error inserting data for server ilp-authsv-13: no such table: tab_main_resp_server
2025-03-14 09:05:53,937 - INFO - Processing server: ilp-cachsv-14
2025-03-14 09:05:53,937 - ERROR - Error checking if server ilp-cachsv-14 exists: no such table: tab_main_resp_server
2025-03-14 09:05:53,937 - ERROR - Error inserting data for server ilp-cachsv-14: no such table: tab_main_resp_server
2025-03-14 09:05:53,937 - INFO - Processing server: ilp-backsv-15
2025-03-14 09:05:53,937 - ERROR - Error checking if server ilp-backsv-15 exists: no such table: tab_main_resp_server
2025-03-14 09:05:53,937 - ERROR - Error inserting data for server ilp-backsv-15: no such table: tab_main_resp_server
2025-03-14 09:05:53,937 - INFO - Processing server: ilp-appsv-16
2025-03-14 09:05:53,937 - ERROR - Error checking if server ilp-appsv-16 exists: no such table: tab_main_resp_server
2025-03-14 09:05:53,937 - ERROR - Error inserting data for server ilp-appsv-16: no such table: tab_main_resp_server
2025-03-14 09:05:53,937 - INFO - Processing server: ilp-dbsv-17
2025-03-14 09:05:53,938 - ERROR - Error checking if server ilp-dbsv-17 exists: no such table: tab_main_resp_server
2025-03-14 09:05:53,938 - ERROR - Error inserting data for server ilp-dbsv-17: no such table: tab_main_resp_server
2025-03-14 09:05:53,938 - INFO - Processing server: ilp-proxsv-18
2025-03-14 09:05:53,938 - ERROR - Error checking if server ilp-proxsv-18 exists: no such table: tab_main_resp_server
2025-03-14 09:05:53,938 - ERROR - Error inserting data for server ilp-proxsv-18: no such table: tab_main_resp_server
